Angle,Cy,Cx
0,0,0.008
5,-0.3,0.016
10,-0.594,0.04
15,-0.876,0.078
20,-1.139,0.127
25,-1.378,0.184
30,-1.592,0.243
35,-1.777,0.301
40,-1.932,0.352
45,-2.058,0.392
